Event;Result;UTCDate;UTCTime;WhiteElo;BlackElo;ECO;Opening;TimeControl;Termination;Moves
Rated Classical game;0-1;2013.01.01;17:30:40;1543;1417;A43;Old Benoni Defense;300+8;Checkmate;d4 c5 Nf3 cxd4 Nxd4 e6 a3 Qf6 Be3 Be7 Nc3 Nc6 Ne4 Qg6 Nb5 Bd8 Nbd6+ Ke7 f3 Ba5+ c3 Nf6 Nxc8+ Raxc8 Qd6+ Kd8 Nc5 Rc7 Rd1 Nd5 Bd4 Nxd4 Rxd4 Rxc5 Qxc5 Bb6 Qb5 Bxd4 cxd4 Qb1+ Kf2 Qc1 e3 Qxe3+ Kg3 f5 Qxb7 Qe1+ Kh3 Nf4#
Rated Blitz game;0-1;2013.01.01;17:31:04;1517;1574;C55;Italian Game: Two Knights Defense, Modern Bishop's Opening;300+0;Time forfeit;e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d5 exd5 Nxd5 Bg5 Be7 Bxe7 Ncxe7 Nxe5 O-O Qf3 Be6 Nc3 Nxc3 bxc3 Bxc4 dxc4 Ng6 Nd3 Re8+ Kd2 Ne5 Qxb7 Nxc4+ Kc1 Qg5+ f4 Qg4 h3 Qe2 a4 Qd2+ Kb1 Rab8 Qxb8 Rxb8+ Ka2 Qxc2+
Rated Blitz game;0-1;2013.01.01;17:29:17;1381;1476;C65;Ruy Lopez: Berlin Defense #2;240+0;Checkmate;e4 e5 Nf3 Nc6 Bb5 Nf6 d3 d6 h3 Bd7 O-O a6 Ba4 b5 Bb3 Be7 c3 O-O Bg5 h6 Bh4 Nh5 Bxe7 Qxe7 Nd4 Nxd4 Qxh5 Ne6 Nd2 Nf4 Qf3 Qg5 Rfe1 Bxh3 Qg3 Nxg2 Qxg5 hxg5 Re2 Nf4 Re3 Kh7 Kh2 Bd7 Nf3 Kg6 Rg1 Rh8+ Nh4+ Rxh4+ Kg3 Rh3#
Rated Blitz game;1-0;2013.01.01;17:31:22;1630;1218;D00;Queen's Pawn Game #2;300+3;Time forfeit;d4 d5 e3 Bf5 Nf3 g6 a3 Bg7 Be2 Nf6 O-O a6 Nbd2 Nbd7 c4 dxc4 Nxc4 Nb6 Nxb6 cxb6 b4 Rc8 Bd3 Ne4 Bb2 O-O Rc1 a5 Rxc8 Qxc8 Bxe4 Bxe4 Nd2 Bd5 e4 Bc6 bxa5 bxa5 Qc1 Rd8 d5 Bb5 Qxc8 Rxc8 Rc1 Rxc1+ Bxc1 Bh6 g3 Be2 Kg2 Kf8 f4 Ke8 Nb3 Kd7 Nxa5 b6 Nb3 Bf8 Kf2 Bc4 Nd2 Bb5 Ke3 e6 dxe6+ fxe6 Bb2 Kc6 Nb3 Ba4 Nd4+ Kd6 e5+ Kd5 Nf3 Bc5+ Bd4 Kc6 Bxc5 Kxc5 Ng5
Rated Blitz game;1-0;2013.01.01;17:30:57;1754;1829;A00;Hungarian Opening: Sicilian Invitation;180+0;Time forfeit;g3 c5 Bg2 Nc6 b3 d5 Bb2 e5 h3 Nf6 e3 Be7 d3 O-O Ne2 d4 e4 a6 a3 Be6 O-O Qd7 Kh2 h6 Nd2 Nh7 Bc1 Ng5 Ng1 b5 Ndf3 Nxf3+ Nxf3 a5 Ng1 b4 a4 Qd8 f4 exf4 Bxf4 Bg5 Qh5 Bxf4 Rxf4 Qe7 Re1 Rac8 Nf3 Bd7 Nh4 Ne5 Nf5 Bxf5 Rxf5 Ng6 Ref1 Rc7 h4 Qd6 Bh3 Re7 Rxc5 Re5 Rxe5 Qxe5 Rf5 Qc7 Qf3 Qxc2+ Bg2 Qxb3 h5 Ne7 Rxa5 Nc6 Rc5 Nd8 e5 Qxa4 Qd5 Ne6 Ra5 Qd1 Ra6 Qxh5+ Bh3 Ng5 Qg2 Nxh3 Qxh3 Qe2+ Qg2 Qxd3 e6 fxe6 Rxe6 b3 Qd5 Kh8 Qe5 b2 Rxh6+ Kg8 Qe6+ Rf7 Qe8+ Rf8 Rh8+
Rated Bullet game;1-0;2013.01.01;17:32:30;1968;1952;A21;English Opening: King's English Variation, Reversed Sicilian;60+0;Resignation;c4 e5 Nc3 Bc5 d3 d6 e3 Nc6 g3 a6 Bg2 Nf6 Nf3 Bg4 h3 Bh5 g4 Bg6 Nh4 h6 Nxg6 fxg6 Ne4 Nxe4 Bxe4 g5 Bg6+ Ke7 a3 Rf8 b4 Ba7 Bb2 Rf6 Be4 Kf8 Bd5 Ne7 Bxb7 Rb8 Be4 Kg8 Qc2 d5 cxd5 Nxd5 Qc4 Rd6 Bxd5+ Kh8 Be4 c5 Bxe5 Rdb6 Qf7 Qg8 Qxg8+ Kxg8 bxc5 Rb1+ Ke2 Rxa1 Rxa1 Re8 Bd4 Rc8 c6 Bxd4 exd4 Kf7 Rb1 Rc7 Rb7 Rxb7 cxb7 Ke6 b8=Q
Rated Blitz game;0-1;2013.01.01;17:33:08;1492;1527;C30;King's Gambit Declined, Queen's Knight Defense;300+2;Resignation;e4 e5 f4 Nc6 Nf3 d6 Bb5 Bg4 Nc3 Nf6 h3 Bh5 g4 Bg6 f5 Bxf5 gxf5 d5 Bxc6+ bxc6 exd5 Nxd5 Nxd5 cxd5 Nxe5 Qe7 d4 f6 Bf4 Rb8 b3 Rb4 Qd3 c5 O-O Rxd4 Qe3 fxe5 Bxe5 Re4 Qxe4 dxe4 Bb2 Rg8 Rf2 e3 Re2 Qg5+ Kh2 Qf4+ Kh1 Qf3+ Rg2 Bd6 Re1 Kd7 Bc1 Re8 Kg1 e2 Rf2 Qxh3 Rfxe2 Rf8 Rf2 Bg3 Be3 Bxf2+ Bxf2 Rxf5 Bxc5 Rxc5 Rd1+
Rated Classical game;1-0;2013.01.01;17:33:12;1774;1579;C21;Center Game: Kieseritzky Variation #4;1320+8;Checkmate;e4 e5 d4 exd4 Nf3 c5 Bc4 d5 Bxd5 Bg4 Bxb7 Nc6 Bxc6+ Bd7 Bxa8 Qxa8 O-O Be7 c3 Qxe4 cxd4 cxd4 Qxd4 Qb7 Nc3 Nf6 Ne5 Bc6 Nxc6 Qxc6 Bg5 O-O Bxf6 Bxf6 Qxa7 Bxc3 bxc3 Qxc3 Rac1 Qf6 a4 h6 a5 h5 a6 h4 h3 g5 Qb7 g4 a7 gxh3 gxh3 Kh7 a8=Q Rg8+ Qxg8+ Kxg8 Qg2+ Kh7 Rc4 Qh6 Qg4 Qg7 Qxg7+ Kxg7 Rxh4 Kg6 f4 f5 Rb1 Kf6 Rb6+ Ke7 Rh7+ Kd8 Rb8#
Rated Classical game;0-1;2013.01.01;17:33:33;1359;1296;D00;Queen's Pawn Game #3;300+5;Time forfeit;d4 Nf6 e3 d5 f3 c5 b3 cxd4 Bb2 dxe3 Qd4 Nc6
Rated Blitz game;1-0;2013.01.01;17:32:14;1130;1390;C02;French Defense: Advance Variation #3;300+3;Time forfeit;d4 e6 e4 d5 e5 a5 c3 c6 a4 h5 Nf3 Be7 Be2 g6 O-O f5 exf6 Bxf6 Bf4 Nd7 Be5 Bxe5 dxe5 Nh6 h3 Nf7 Qd4 g5 Nbd2 c5 Qe3 Rg8 Nb3 Qc7 Bb5 c4 Nbd4 Ke7 Bxd7 Bxd7 Rfd1 g4 hxg4 hxg4 Nh2 Qxe5 Qxe5 Nxe5 g3 Nd3 Rd2 e5 Ne2 Raf8 Nc1 e4 Nxd3 cxd3 b4 axb4 cxb4 b6 a5 bxa5 bxa5 Ra8 a6 Bb5 a7 Rg7 Rb2 Bc4 Rb7+ Kf6 Rxg7 Kxg7 Nxg4
Rated Blitz game;1-0;2013.01.01;17:33:00;1496;1856;A50;Queen's Indian Accelerated;420+0;Resignation;d4 Nf6 c4 b6 Nc3 Bb7 Nf3 e6 h3 d6 Bf4 Nbd7 e3 Be7 Bd3 a6 O-O e5 dxe5 Bxf3 Qxf3 dxe5 Bh2 Nc5 Bc2 Bd6 Rfd1 Qe7 Qxa8+
Rated Classical game;0-1;2013.01.01;17:33:28;1655;1811;A00;Van't Kruijs Opening;300+5;Resignation;e3 Nf6 d3 g6 Nc3 Bg7 Bd2 O-O g3 d6 Bg2 c6 Nge2 Bd7 O-O Qc7 Qc1 b5 e4 a5 a3 Na6 Bh6 Rac8 d4 b4 Na4 c5 e5 dxe5 dxe5 Qxe5 b3 Bxa4 bxa4 Qxe2 Bxg7 Kxg7 Re1 Qc4 axb4 cxb4 Rxe7 Qxc2 Qf1 Qc5 Re4 Nxe4 Bxe4 Nb8 Rb1 Rfe8 Bf3 Qc3 Bg4 Rcd8 Qb5 Re5 Qb6 Qd4 Qc7 Rc5 Qe7 Re5 Qc7 Red5 Be6 Rd5d7 Bxd7 Qxd7 Qxa5 Nc6 Qc5 Rb8 a5 Qb7 Rc1 b3 Qxc6 Qxc6 Rxc6 b2 a6 b1=Q+ Kg2 Ra8 h4 Qb5 Rd6 Rxa6 Rd7 Rf6
Rated Classical game;1-0;2013.01.01;17:33:55;1526;1440;A03;Bird Opening: Dutch Variation;720+1;Resignation;f4 d5 Nf3 Nf6 b3 d4 Bb2 c5 c3 Nc6 cxd4 cxd4 Na3 Qb6 Nc4 Qc5 Ba3 Qd5 e3 Bg4 Be2 O-O-O Bb2 dxe3 Nxe3 Qd6 Ne5 Bxe2 Qxe2 Qe6 Rc1 Ne4 Nxc6 bxc6 Qa6+ Kd7 Qb7+ Ke8 f5 Qd7 Qxd7+ Rxd7 Nc4 e6 O-O Bc5+ d4 Bxd4+ Bxd4 Rxd4 fxe6 fxe6 Rfe1 Ke7 Ne5 c5 Nc6+ Kd6 Nxd4 cxd4 Rxe4 Kd5 Re2 d3 Rd2 Kd4 Rcd1 e5 Rxd3+ Ke4 Rd3d2 Re8 Re2+ Kf5 Rf1+ Kg4 Rf7 Rd8 Rxg7+ Kf4 Re7 Rd1+ Kf2 Rd5 Rxh7 e4 Rxa7 Rf5 Kg1 e3 Ra4+ Kg5 Rxe3 Kf6 Rf3 Kg6 Rxf5 Kxf5 Rd4 Ke5 Rc4 Kd5 Kf2 Ke5 Ke3 Kd5 a4 Ke5 Rd4 Ke6 a5
Rated Classical game;0-1;2013.01.01;17:34:04;1753;1470;C65;Ruy Lopez: Berlin Defense #2;360+8;Resignation;e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 d3 Bc5 Bg5 O-O Nxe5 Qd4 Qf3 Qxe5 Bxf6 Qf5 Qf4 Qxf4 O-O Qxf6 Nc3 Qg6 a3 Bh3 g3 Bxf1 Rxf1 Rae8 b4 Bd4 Ne2 Be5 c3 b5 d4 Bf6 e5 Bd8 Nf4 Qf5 f3 f6 exf6 Bxf6 Rf2 Bg5 Ne2 Be3 g4 Qg5 h3 Bxf2+ Kxf2 Qh4+
Rated Bullet game;0-1;2013.01.01;17:34:34;1609;1510;C00;French Defense: La Bourdonnais Variation;60+0;Resignation;e4 e6 f4 c5 Nf3 Nc6 d3 Nf6 Be3 d5 c3 d4 cxd4 cxd4 Bxd4 Nxd4 Nxd4 Qxd4 Nc3 Qe3+ Be2 Bb4 Qd2 Ng4 Qxe3 Nxe3 a3 Bxc3+ bxc3 Nc2+ Kf2 Nxa1 Rxa1 O-O Bf3 b6 g3 Bb7 d4 Ba6 Ke3 Rac8 Rc1 Rfd8 a4 Rd7 g4 Rdc7 Kd2 g6 h4 Kg7 h5 gxh5 gxh5 Kh6 f5 exf5 exf5 f6 Be4 Bb7 Bxb7 Rxb7 c4 Re7 Kd3 Rce8 d5 Re3+ Kc2 Re8e4 Kb1 Rd3 Kb2 Rdd4 Kb1 Rxc4 Rxc4 Rxc4 d6 Rd4 d7 Rxd7
Rated Classical game;1-0;2013.01.01;17:34:33;1581;1225;C68;Ruy Lopez: Exchange Variation, Lutikov Variation;600+15;Time forfeit;e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 bxc6 Nxe5 Qe7 d4 f6 Nf3 Qxe4+ Be3 c5 O-O Nh6 Bxh6 gxh6 Re1 Qxe1+ Qxe1+ Be7 dxc5 O-O Qxe7 Rb8 b3 Rb5 Nc3 Rxc5 Qxc5
Rated Blitz game;0-1;2013.01.01;17:34:41;1646;1702;C20;King's Pawn Game: Leonardis Variation;300+0;Checkmate;e4 e5 d3 Nc6 h3 Bc5 Nf3 Qf6 Be2 h6 O-O d6 Nh2 g6 Kh1 h5 c3 Bd7 b4 Bb6 Na3 Qe7 Nc4 f5 Nxb6 axb6 exf5 Bxf5 f4 Nf6 fxe5 Nxe5 Bg5 O-O-O d4 Nf7 Bxf6 Qxf6 Bc4 d5 Bd3 Nd6 a4 Qg5 Bxf5+ Nxf5 Rf3 Rhf8 Qd3 Nh4 Rg3 Qf5 Nf3 Qxd3 a5 Nxf3 axb6 cxb6 Ra8+ Kc7 Rxd8 Kxd8 b5 Qf1#
Rated Bullet game;1-0;2013.01.01;17:34:50;1942;1978;D10;Slav Defense #2;60+0;Checkmate;d4 d5 c4 c6 Nc3 g6 Nf3 Bg7 Bg5 Bg4 e3 Nd7 h3 Bxf3 Qxf3 dxc4 Bxc4 Ngf6 O-O O-O Ne4 h6 Bxf6 Nxf6 Nxf6+ exf6 Rad1 f5 Rfe1 Qb6 b3 Rad8 d5 cxd5 Bxd5 Rb8 Bc4 Qf6 e4 fxe4 Qxe4 Kh7 Qg4 Rfd8 Rd5 Rxd5 Bxd5 b6 Bc4 Rd8 Rd1 Rxd1+ Qxd1 Qb2 Qd5 Qxa2 Qxf7 Qa1+ Kh2 a6 Qg8#
Rated Classical game;0-1;2013.01.01;17:34:59;1515;1788;D05;Colle System;600+8;Resignation;d4 d5 e3 Nf6 Nf3 e6 a3 c5 Ne5 cxd4 Qxd4 Nc6 Nxc6 bxc6 Qa4 Bd7 b4 c5 Bb5 Qb6 Bxd7+ Nxd7 bxc5 Bxc5 Qg4 O-O Ra2 Qxb1 O-O Qxa2 f4 Nf6 Qd1 Rfd8 Rf2 Ng4 Qxg4 Bxa3 Bd2 Qb1+ Rf1 Qxc2 Ba5 Rdb8 h3 Bc5 Qf3 Qd3 Be1 Bxe3+ Bf2 d4 Kh2 Qxf1 Kg3 Bxf2+ Kg4 d3 f5 exf5+ Kxf5 Rb5+ Ke4 Re8+ Kf4 d2 Qc6 Bd4+ Kg3 Be5+ Kg4 d1=Q+ Kh4 Qf4+ g4 Bf6+
Rated Classical game;1-0;2013.01.01;17:35:10;1508;1412;C46;Four Knights Game: Italian Variation;480+0;Time forfeit;e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bb4 Ng5 d5 exd5 Bxc3 dxc3 Na5 Qd3 Nxc4 Qxc4 Nxd5 Be3 O-O O-O-O Nxe3 Qxf7+ Rxf7 Rxd8+ Rf8 Rxf8+ Kxf8 fxe3 h6 Ne4 Bf5 Ng3 Be4 Rf1+
Rated Blitz game;1-0;2013.01.01;17:36:14;1641;1625;C68;Ruy Lopez: Exchange Variation;240+0;Time forfeit;e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 Nxe5 Qg5 Nxf7 Kxf7 Qf3+ Ke8 O-O Qf6 Qh5+ g6 Qe2 Qg5 d4 Qg4 f3 Qe6 Bg5 Nf6 Bxf6 Qxf6 Nc3 Qxd4+ Kh1 a5 Rad1 Qf6 Rd2 b6 Rfd1 Be7 Qc4 Ba6 Qd4 Qxd4 Rxd4 Bf6 Rd7 Be2 Rd1d2 Bxc3 bxc3 Rc8 Rg7 Bc4 Rdd7 Bxa2 Rxc7 Rxc7 Rxc7 Rf8 Rxh7 Rf7 Rh8+ Ke7 Rc8 Rf6 Rb8 b5 h4 Bb1 Kh2 Bxc2 Ra8 a4 Ra7+ Kd6 Kg3 Kc5 Kg4 Kc4 g3 Kxc3 Rd7 Kb2 Rd2 a3 Kg5 a2 Kxf6 a1=Q Kxg6 Kb1 h5 Qc3 Rxc2 Qxc2 h6 Qd2 g4 Qd6+ Kg7 Qf4 h7 Qe5+ Kh6 Qe7 h8=Q Qe6+ Kh5 Qf7+ Kh4 Qe7+ g5 c5 Qb8 Qd7 Qf4 c4 Qe3 c3 Qe1+
Rated Classical game;0-1;2013.01.01;17:36:28;1663;1643;B20;Sicilian Defense: Staunton-Cochrane Variation;900+0;Resignation;e4 c5 c4 e6 d3 d5 exd5 exd5 Qe2+ Be7 Bg5 Nc6 Nc3 dxc4 Rd1 Nd4 Bxe7 Nxe7 Qd2 O-O dxc4 Nef5 Bd3 Re8+ Nge2 Nxe2 Bxe2 Qxd2+ Rxd2 Nd4 O-O Nxe2+ Nxe2 Bf5 Ng3 Be6 b3 Rad8 Rxd8 Rxd8 Re1 b6 h3 Rd2 Ra1 g6 Ne4 Re2 Nf6+ Kg7 Ne8+ Kf8 Nc7 Bd7 Nd5 Bc6 Nf4 Rd2 h4 h6 h5 g5 Nh3 f5 f3 g4 Nf4 gxf3 gxf3 Bxf3 a3 Rb2 b4 cxb4 axb4 Rxb4 Kf2 Be4 Rxa7 Rxc4 Rh7 Rc2+ Ke3 Rc6 Ng6+ Kg8 Rxh6 Kg7 Rh8 Rxg6 Rb8 Rg3+ Kf4 Rg4+ Ke5 Kh6 Rxb6+ Kxh5 Rb8 Rg6 Rh8+ Rh6 Rb8 Kg4 Kd4 Kf3 Rb2 Rd6+ Ke5 Rd3 Rb8 Ke3 Rh8 Rd5+ Ke6 f4 Rh3+ f3 Kf6 Ke2 Rh4 Bd3 Ke6 Ra5 Rb4 f2
Rated Blitz game;0-1;2013.01.01;17:36:44;1372;1557;B40;Sicilian Defense: French Variation;180+0;Time forfeit;e4 e6 Nf3 c5 Bc4 Nc6 c3 Nf6 d3 d5 exd5 exd5 Bb3 Qb6 O-O c4 Re1+ Be7 dxc4 dxc4 Bc2 O-O Be3 Bc5 Nd4 Ng4 Nxc6 bxc6 Bxc5 Qxc5 Qf3 Qb6 b3 cxb3 Bxb3 Qc7 g3 h5 Nd2 Bb7 Bc2 c5 Qd3 g6 Ne4 Qc6 f3 Rad8 Qe2 Ne5 Qe3 f5
Rated Bullet game;1-0;2013.01.01;17:36:47;1966;1954;D00;Blackmar-Diemer Gambit: Gedult Gambit;60+0;Time forfeit;d4 d5 e4 dxe4 f3 exf3 Nxf3 Nf6 Bc4 Bg4 Ne5 e6 Nxg4 Nxg4 Qxg4 Nc6 c3 Qf6 Qg5 Qxg5 Bxg5 Bd6 O-O O-O Nd2 f5 Nf3 Rae8 Rae1 h6 Bd2 Nd8 Ne5 a6 Ng6 Rf6 Nf4 b5 Bb3 a5 Nd5 a4 Nxf6+ gxf6 Bc2 Kh7 Bf4 e5 dxe5 fxe5 Bxf5+ Kg7 Bg3 Rf8 Be4 Rxf1+ Rxf1 Nf7 Rd1 Ng5 Bf3 Kf6 Kf2 Ke6 Bg4+ Kf6 Bh4 Kg6 Bxg5 Kxg5 h3 h5 Be2 Kf4 g3+ Kf5 Kf3 Kg5 Bd3 h4 Be4 hxg3 Kxg3 Kf6 Kf3 Ke6 Ke3 Kf6 Rh1 Kg5 h4+ Kh5 Bf5 Be7 Ke4 Bxh4 Rxh4+ Kxh4 Kxe5 Kg5 Kd5 Kxf5 Kc6 Ke6 Kxc7 Kd5 Kb6 Kc4 Ka5 Kc5 b3 axb3 axb3 Kc6 b4 Kb7 Kxb5 Ka7 c4 Kb7 c5 Kc7 Kc4 Kb7 b5 Kc7 b6+ Kb7 Kb5 Kb8 c6 Kc8 Ka6 Kb8 b7 Kc7 Ka7 Kxc6 b8=Q Kd7 Qb6 Ke7 Ka6 Kf7 Kb5 Kg7 Kc5 Kf7 Qd6
Rated Classical game;1-0;2013.01.01;17:38:19;1423;1277;A40;Queen's Pawn;1200+0;Resignation;d4 h6 e4 d5 e5 Bf5 Nf3 a6 Nbd2 e6 a3 Bg4 Be2 Nc6 c3 Bxf3 Bxf3 f6 exf6 Qxf6 O-O Bd6 g3 Nge7 Re1 O-O Qe2 Kf7 b4 b5 Nb3 Qg6 Bh5 Nxd4 Bxg6+ Kxg6 Nxd4
Rated Classical game;0-1;2013.01.01;17:38:35;1481;1618;B48;Sicilian Defense: Paulsen Variation, Bastrikov Variation, English Attack;540+10;Resignation;e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e6 Be3 Qc7 Nc3 a6 Qd2 Bd6 g3 Nf6 Bd3 b5 Nf3 Ng4 e5 Ncxe5 Bf4 Nxf3+
Rated Classical game;0-1;2013.01.01;17:39:04;1913;1830;C42;Petrov's Defense #2;480+2;Time forfeit;e4 e5 Nf3 Nf6 Nxe5 Qe7 d4 d6 Nf3 Qxe4+ Be2 Bf5 c3 Nbd7 O-O O-O-O Re1 Qc2 Qxc2 Bxc2 Na3 Ba4 b3 Bc6 Ng5 Re8 Nxf7 Rg8 Ng5 h6 Nh3 g5 Bb2 Bg7 Bd3 a6 c4 Be4 Bxe4 Nxe4 f3 Nec5 Rad1 Rxe1+ Rxe1 Nd3 Bc3 Nxe1 Bxe1 Bxd4+ Kf1 Rf8 Bf2 Bb2 Nc2 Ne5 Ke2 Re8 Kd2 Nc6 Be3 Be5 g3 Rf8 Ke2 b6 f4 gxf4 gxf4 Bg7 Nf2 Kd7 Ne4 Re8 Kd3 h5 h4 a5 a3 Ne7 Ng5 Nf5 Bf2 Bf6 Ne3 Nd4
Rated Classical game;0-1;2013.01.01;17:37:39;1365;1400;A00;Van't Kruijs Opening;480+0;Resignation;e3 e5 Qf3 d5 c4 e4 Qf4 Bd6 Qxd6 Qxd6 cxd5 Qxd5 g3 Bg4 Bg2 Qc4 f3 Qxc1+ Kf2 exf3 Nxf3 Qxb2 Nc3 Nc6 Rhb1 Qa3 Rb3 Qd6 h3 Bf5 g4 Be6 Rxb7 Rb8 Rb5 Rxb5 Nxb5 Qe7 Nxa7 Nf6 Rb1 Ne4+ Ke2 Nxa7 Rb8+ Kd7 Nd4 Bc4+ Kd1 Rxb8 Bxe4 Qxe4
Rated Classical game;0-1;2013.01.01;17:39:49;1277;1524;D00;Queen's Pawn Game #3;1200+0;Checkmate;d4 d5 e3 Nf6 c3 Bf5 Qb3 b6 Qb5+ c6 Qb3 e6 Nf3 Nbd7 Qa4 b5 Qa6 Qc7 b4 Nb8 Qa3 Bd6 g3 Be4 Be2 O-O O-O h6 Nbd2 Nbd7 Nxe4 Nxe4 Bd3 Ndf6 Nd2 Nxg3 hxg3 Bxg3 Nf3 Ng4 Qb2 Bh2+ Kg2 f5 Rh1 Bd6 Kh3 Rf6 Be2 Nxf2+ Kg2 Nxh1 Kxh1 Rg6 Ne5 Bxe5 dxe5 Qxe5 e4 Qxe4+ Kh2 Qh4#
Rated Bullet game;1-0;2013.01.01;17:39:52;1944;1976;C20;King's Pawn Game;60+0;Time forfeit;e4 e5 g3 d6 Bg2 Be7 b3 Nf6 Bb2 O-O d3 Nc6 Nf3 Bg4 O-O a5 Nbd2 a4 c4 axb3 axb3 Rxa1 Qxa1 Be6 Bc3 h6 Qb2 Qd7 Ra1 Nh7 b4 f5 b5 Nd8 exf5 Bxf5 d4 e4 Ne1 Bg5 Nxe4 Bxe4 Bxe4 Ne6 Qc2 Nf6 d5 Nxe4 Qxe4 Nc5 Qd4 Qf7 Nc2 Bf6 Qe3 Bxc3 Qxc3 Qxf2+ Kh1 Qf3+ Kg1 Qf2+ Kh1 Ne4 Qe1 Qxc2 Rd1 Nf2+ Kg1 Ng4 Qe6+ Kh8 Qxg4 Qf2+ Kh1 Qf3+ Qxf3 Rxf3 Rg1 Rc3 Rf1 Rxc4 Rf8+ Kh7 Rf7 Rc5 Rd7 Rxd5 Rxc7 Rxb5 Rd7 d5 Rd6 Kg8 Kg2 Kf7 Rd7+ Kf6 Rd6+ Ke7 Rg6 Rb2+ Kh3 Rb3 Rxg7+ Kf6 Rc7 Kg5 Rd7 Rxg3+ Kxg3 b6 Rxd5+ Kf6 Rb5 Kg7 Rxb6 h5 Rb5 Kh6 Kh4 Kg6 h3 Kf6 Kxh5 Ke6 Kg4 Kd6 Ra5 Kc6 Ra3 Kb6 Rf3 Kb5 Rf4 Kc5 h4 Kd5 h5 Ke6 h6 Ke7 h7 Kd6 h8=Q Kc5 Qg7 Kb5 Qf7 Kc5 Rf5+ Kc6 Qf6+ Kd7 Re5 Kc7 Qe6 Kb7 Rf5 Kc7 Rf7+ Kd8 Qe7+ Kc8 Qf6
Rated Blitz game;1-0;2013.01.01;17:40:04;1275;1703;C15;French Defense: Winawer Variation;180+3;Checkmate;e4 e6 d4 d5 Nc3 Bb4 Bb5+ c6 Bd3 Nf6 Qf3 dxe4 Qg3 exd3 Qxg7 Rg8 Qh6 Bxc3+ bxc3 dxc2 Nf3 Rxg2 Ba3 Na6 Qf8+ Kd7 Qxf7+ Qe7 Ne5+ Kc7 Qxe7+ Kb6 Bc5+ Nxc5 Qxc5+ Kc7 Qe7+ Kb6 Qxf6 Bd7 Nxd7+ Ka6 Qxe6 Rag8 Qc4+ Ka5 Qb4+ Ka6 Nc5#
Rated Blitz game;0-1;2013.01.01;17:40:07;1916;1836;B23;Sicilian Defense: Closed Variation;180+0;Resignation;e4 c5 Nc3 d6 g3 Nf6 d3 g6 Be3 Bg7 Qc1 Nc6 Bh6 O-O Bg2 Ng4 Bxg7 Kxg7 h3 Nge5 f4 Nd7 Nge2 e5 f5 c4 O-O cxd3 cxd3 Qb6+ Kh1 Nf6 Qg5 Nd4 fxg6 fxg6 Rf2 Nxe2 Nxe2 Qxf2
Rated Classical game;1-0;2013.01.01;17:40:32;1499;1734;C25;Vienna Game: Max Lange Defense;480+0;Resignation;e4 e5 Nc3 Nc6 Bc4 Bb4 Nd5 Bc5 c3 Nge7 Nxe7 Qxe7 f3 Bxg1 Rxg1 Qh4+ Kf1 Qxh2 Qe1 O-O Qf2 d6 g3 Qxf2+ Kxf2 a6 a3 Rb8 Bd5 Ne7 d3 Nxd5 exd5 b5 c4 Bb7 b3 f5 a4 e4 dxe4 fxe4 axb5 axb5 Ra7 Rxf3+ Ke2 Rxb3 cxb5 Rxb5 Be3 Rxd5 g4 c6 g5 g6 Rg4 Re5 Bf4 Re6 Ke3 d5 Bxb8 d4+ Kxd4 Bc8 Rxe4 c5+ Kd5 Rxe4 Kxe4 Be6 Rc7 c4 Ke5 Bf7 Rc5 Kf8 Kf6 Ke8 Bf4 Bg8 Kg7 Be6 Kxh7 Kf7 Bd2 Ke7 Kxg6 Kd6 Ra5 Bd5 Kh7 Ke5 g6 Kd4 g7 Be6 g8=Q Bxg8+ Kxg8 c3 Bxc3+ Kxc3 Ra4 Kb3 Rh4 Kc3 Kg7
Rated Blitz game;1-0;2013.01.01;17:41:43;1484;1311;B06;Robatsch (Modern) Defense;180+5;Resignation;d4 g6 e4 Bg7 e5 d6 Nf3 dxe5 dxe5 Qxd1+ Kxd1 Nc6 Bf4 Bg4 Be2 O-O-O+ Nbd2 Bxf3 Bxf3 Nxe5 Bxe5 Bxe5 c3 Nf6 Kc2 Rd6 Nc4 Rd7 Nxe5
