Event;Result;UTCDate;UTCTime;WhiteElo;BlackElo;ECO;Opening;TimeControl;Termination;Moves
Rated Blitz game;1-0;2012.12.31;23:09:39;1500;1585;C30;King's Gambit;300+0;Checkmate;e4 e5 f4 d6 Nf3 Nc6 d4 exd4 Nxd4 Be7 Nxc6 bxc6 Bc4 Be6 Bxe6 fxe6 c4 Nh6 Nc3 O-O O-O e5 f5 Nf7 b4 Bg5 b5 Bxc1 Rxc1 Ng5 bxc6 a6 Re1 g6 fxg6 hxg6 Nd5 Ne6 Qg4 Qe8 Rf1 Nf4 Nxf4 Rxf4 Rxf4 exf4 Qxf4 Qxc6 Qf6 Qd7 c5 Rf8 Qxg6+ Kh8 cxd6 cxd6 Rd1 Rg8 Qf6+ Kh7 Rxd6 Qa7+ Kf1 Rg7 Qh6+ Kg8 Rd8+ Kf7 e5 Qc7 Qf6#
Rated Classical game;1-0;2012.12.31;23:16:04;1463;1504;C44;Scotch Game: Benima Defense;1560+30;Checkmate;e4 e5 Nf3 Nc6 Bc4 Be7 d4 exd4 Nxd4 d6 Nc3 Nf6 Bg5 Nxd4 Qxd4 h6 Bh4 O-O O-O-O Bd7 Rhe1 Re8 Nd5 Nxd5 Qxd5 Bxh4 Qxf7+ Kh8 e5 Rf8 Qg6 Bxf2 Bd3 Kg8 e6 Bxe1 Qh7#
Rated Blitz game;1-0;2012.12.31;23:12:39;1554;1429;B01;Scandinavian Defense: Mieses-Kotroc Variation;300+2;Time forfeit;e4 d5 exd5 Qxd5 Nc3 Qe6+ Qe2 Nf6 Nf3 b6 d3 h6 Qxe6 Bxe6 Be2 Nbd7 O-O Bg4 Bf4 Rc8 Nb5 Nd5 Bg3 a6 Nbd4 f6 Rad1 c5 Nb3 Nb4 d4 c4 Nc1
Rated Blitz game;1-0;2012.12.31;23:11:15;1938;1880;D20;Queen's Gambit Accepted: Saduleto Variation;300+0;Resignation;d4 d5 c4 dxc4 e4 g6 Bxc4 Bg7 Ne2 Nf6 Nbc3 O-O O-O e6 Be3 Nbd7 f3 Nb6 Bd3 a5 b3 c6 Kh1 Nbd7 Qd2 b5 a4 b4 Na2 Ba6 Nac1 Bxd3 Nxd3 Qc7 Bf4 Qb6 Rac1 Nh5 Bh6 Bxh6 Qxh6 Ng7 Rc4 e5 dxe5 Rfe8 f4 Qe3 Nec1 Nb6 Re1 Nxc4 Rxe3 Nxe3 Qh3 Nd1 Qf3 Nc3 f5 gxf5 exf5 Rad8 h3 c5 f6 Ne6 Nxc5 Kh8 Nc1d3 Rg8 Nxe6 fxe6 Nf4 Rde8 f7 Rgf8 fxe8=Q Rxe8 Qg4 Na2 Nxe6 Rg8 Qf5 h6 Qf6+ Kh7 Nf8+ Rxf8 Qxf8 Nc1 Qf7+ Kh8 e6
Rated Classical game;1-0;2012.12.31;23:12:46;1336;1337;C40;King's Pawn Game: McConnell Defense;300+5;Resignation;e4 e5 Nf3 Qf6 d4 d6 d5 Bd7 Nc3 a6 Be3 Be7 Qd3 Nh6 Qc4 Bd8 O-O-O Ng4 Bg5 Qg6 Bxd8 Kxd8 Qe2 Qh6+ Kb1 Ke7 h3 Nf6 g4 g5 Bg2 Rc8 Nd2 c5 dxc6 Bxc6 Qe3 Nfd7 h4 b5 hxg5 Qf8 g6 hxg6 Qg5+ Nf6 Nf3 Qd8 Nxe5 Nd7 Nxg6+ Ke8 Rh8+ Nf8 Rxf8+ Kd7 Rxd8+ Rxd8 Qf5+ Kc7 Ne7 Bb7 Qxf6
Rated Blitz game;1-0;2012.12.31;23:12:31;1793;1827;A40;Horwitz Defense;300+0;Time forfeit;d4 e6 e3 c5 c3 d5 Bd3 c4 Bc2 b5 f4 Nc6 Nf3 a5 O-O Bb7 Nbd2 b4 Ne5 Bd6 Qf3 f5 Qh5+ g6 Nxg6 Nf6 Qh3 Rg8 Ne5 Qe7 Ndf3 O-O-O Rb1 Rg7 Ng5 Rdg8 Rf2 Ne4 Bxe4 fxe4 Qxe6+ Qxe6 Nxe6 Bxe5 Nxg7 Bxg7 Bd2 Bf6 g3 h5 Rbf1 h4 Kg2 hxg3 hxg3 Kc7 Rh1 Bc8 Rh6 Bg4 Rxf6 Bf3+ Rxf3 exf3+ Kxf3 b3 axb3 cxb3 e4 dxe4+ Kxe4 a4 Kf3 Na5 Rf5 Nb7 g4 Nd6 Rc5+ Kb6 c4 Rc8 Rxc8 Nxc8 Bb4
Rated Classical game;0-1;2012.12.31;23:18:19;1785;1732;B06;Modern Defense;540+0;Resignation;e4 g6 c4 Bg7 d4 b6 Nf3 c5 d5 Nf6 Nc3 O-O Bd3 e6 d6 Nc6 Nb5 Ba6 Nc7 Bb7 Nxa8 Qxa8 O-O Nd4 Ne5 Rd8 f3 Ne8 Qa4 Bxe5 f4 Bxd6 f5 exf5 exf5 Bxg2 fxg6 Bxf1 gxh7+ Kh8 Qc2 Nxc2
Rated Bullet game;1-0;2012.12.31;23:17:15;1981;1601;A15;English Opening: Anglo-Indian Defense, King's Knight Variation;60+1;Time forfeit;c4 Nf6 Nf3 e6 e3 c5 Nc3 Nc6 Be2 b6 O-O Bb7 b3 Be7 Bb2 O-O Rc1 e5 d4 e4 Ng5 cxd4 exd4 d5 cxd5 Nxd5 Ngxe4 Nxc3 Bxc3 Nxd4 Qxd4 Qxd4 Bxd4 Bxe4 Rc7 Bd6 Rd7 Bf4 g3 Bf5 Rd5 Be6 Rb5 Bh6 Bf3 Rad8 Be5 Rd2 a4 g6 Kg2 Bg7 Bxg7 Kxg7 a5 Rb8 axb6 Rxb6 Rxb6 axb6 Rb1 Rd3 b4 b5 Be2 Bd5+ Kf1 Rc3 Bxb5 Be4 Re1 Bd5 Be2 Bc4 Bxc4 Rxc4 Rb1 Rc6 b5 Rb6 Ke2 Kf6 Kd3 Ke6 Kc4 Kd6 Rd1+ Kc7 Re1 Kd6 Kb4 h5 f4 f5 Re5 Kc7 Kc5
Rated Classical game;1-0;2012.12.31;23:18:24;1711;1800;C02;French Defense: Advance Variation #2;360+6;Resignation;e4 e6 d4 d5 e5 c5 c3 Ne7 f4 Nbc6 Nf3 cxd4 cxd4 Nf5 g4 Nfe7 Nc3 Bd7 Bd3 Nb4 O-O Ng6 a3 Nxd3 Qxd3 Be7 f5 exf5 gxf5 Nf8 Nxd5 g5 f6 g4 fxe7 Qa5 exf8=Q+ Kxf8 Bh6+ Ke8 Nf6+ Ke7 Nd2 Be6 Bg5 Kf8 Nfe4 h6 Bh4 Qb6 Nc5 Bd5 b4 Rc8 Nd7+
Rated Classical game;1-0;2012.12.31;23:18:49;1421;1491;B07;Pirc Defense #5;300+8;Checkmate;e4 d6 d4 c6 c4 b5 d5 cxd5 cxd5 Bd7 Qb3 Qa5+ Bd2 Qb6 Na3 a6 Nc4 Qd4 Nf3 Qxe4+ Ne3 e6 Bd3 Qe5 Nxe5 dxe5 O-O exd5 Nxd5 Nc6 Bxb5 Nd4 Nc7+ Kd8 Qd5 Kxc7 Qxd7+ Kb6 Rfe1 axb5 Rxe5 Nc6 Re8 Ra7 Be3+ Ka6 Qxc6+ Ka5 Bxa7 Ne7 Qb6+ Ka4 b3+ Ka3 Qxb5 Ng6 Bd4 Nf4 Qa4#
